GW,H,A,Pred Home,Pred Away,Acc Home,Acc Away,A Strength,H Strength,GD/Winner,,Correct pred?,Merit H,Merit A,,Merit2 H,Merit2 A,,,,,,
1,LIV,BOU,2,0,4,2,30,33,2,,TRUE,2.97,0.1,,3,0,,Home Advantage,Clean sheets,,Pred % (excluding GW1),
1,AVL,NEW,2,1,0,0,32,45,0,,,1.03,1.32,,0.98,1.02,,0.638888889,0.261904762,,0.580246914,
1,BHA,FUL,1,1,1,1,33,29,0,,,1.06,0.97,,1.01,0.99,,,,,,
1,SUN,WHU,1,2,3,0,20,30,3,,FALSE,2.75,0.03,,2.99,0,,,,,,
1,TOT,BUR,2,1,3,0,15,25,3,,TRUE,2.64,-0.08,,2.98,-0.01,,,,,,
1,WOL,MCI,0,3,0,4,43,8,-4,,TRUE,0.32,2.49,,0.01,2.97,,,,,,
1,CHE,CP,2,1,0,0,27,36,0,,,0.93,1.12,,0.99,1.01,,,,,,
1,NFO,BRE,0,0,3,1,33,22,2,,FALSE,3.03,-0.14,,3,-0.01,,,,,,
1,MUN,ARS,1,3,0,1,47,38,-1,,TRUE,0.4,3.14,,0.02,3.01,,,,,,
1,LEE,EVE,0,1,1,0,33,23,1,,FALSE,3.03,-0.12,,3,-0.01,,,,,,
,,,,,,,,,,,,,,26.99,,,26.95,,,,,
2,WHU,CHE,0,2,1,5,34,20,-4,,TRUE,0.12,2.75,,0,2.99,,,,,,
2,MCI,TOT,3,0,0,2,25,46,-2,,FALSE,-0.08,3.32,,-0.01,3.02,,,,,,
2,BOU,WOL,2,0,1,0,8,27,1,,TRUE,2.49,-0.03,,2.97,0,,,,,,
2,BRE,AVL,1,1,1,0,46,30,1,,FALSE,3.32,0.03,,3.02,0,,,,,,
2,BUR,SUN,0,2,2,0,33,12,2,,FALSE,3.03,-0.36,,3,-0.03,,,,,,
2,ARS,LEE,4,0,5,0,26,47,5,,TRUE,2.88,0.4,,3,0.02,,,,,,
2,CP,NFO,1,2,1,1,24,27,0,,,0.86,0.93,,1,1,,,,,,
2,EVE,BHA,0,2,2,0,30,30,2,,FALSE,2.97,0.03,,3,0,,,,,,
2,FUL,MUN,1,2,1,1,37,33,0,,,1.14,1.06,,1.01,0.99,,,,,,
2,NEW,LIV,0,3,2,3,33,33,-1,,TRUE,0.1,3.03,,0,3,,,,,,
,,,,,,,,,,,,,,27.99,,,27.98,,,,,
3,CHE,FUL,2,0,2,0,34,34,2,,TRUE,3.06,0.12,,3,0,,,,,,
3,MUN,BUR,3,1,3,2,15,35,1,,TRUE,2.64,0.14,,2.98,0.01,,,,,,
3,SUN,BRE,0,2,2,1,33,30,1,,FALSE,3.03,0.03,,3,0,,,,,,
3,TOT,BOU,2,1,0,1,27,28,-1,,FALSE,-0.03,2.93,,0,3,,,,,,
3,WOL,EVE,1,2,2,3,30,8,-1,,TRUE,0.03,2.49,,0,2.97,,,,,,
3,LEE,NEW,0,3,0,0,32,25,0,,,1.03,0.88,,1.01,0.99,,,,,,
3,BHA,MCI,1,2,2,1,46,27,1,,FALSE,3.32,-0.03,,3.02,0,,,,,,
3,NFO,WHU,3,1,0,3,17,25,-3,,FALSE,-0.25,2.86,,-0.02,2.99,,,,,,
3,LIV,ARS,1,2,1,0,50,33,1,,FALSE,3.4,0.1,,3.03,0,,,,,,
3,AVL,CP,1,1,0,3,25,46,-3,,FALSE,-0.08,3.32,,-0.01,3.02,,,,,,
,,,,,,,,,,,,,,28.99,,,28.99,,,,,
4,ARS,NFO,2,0,3,0,25,47,3,,TRUE,2.86,0.4,,2.99,0.02,,,,,,
4,BOU,BHA,1,1,2,1,30,27,1,,FALSE,2.97,-0.03,,3,0,,,,,,
4,CP,SUN,2,0,0,0,32,27,0,,,1.03,0.93,,1.01,0.99,,,,,,
4,EVE,AVL,2,1,0,0,45,32,0,,,1.32,1.03,,1.02,0.98,,,,,,
4,FUL,LEE,2,0,1,0,26,31,1,,TRUE,2.88,0.06,,2.99,0,,,,,,
4,NEW,WOL,1,0,1,0,8,30,1,,TRUE,2.49,0.03,,2.97,0,,,,,,
4,WHU,TOT,1,2,0,3,25,20,-3,,TRUE,-0.08,2.75,,-0.01,2.99,,,,,,
4,BRE,CHE,0,2,2,2,36,32,0,,,1.12,1.03,,1.01,0.99,,,,,,
4,BUR,LIV,0,3,0,1,33,15,-1,,TRUE,0.1,2.64,,0,2.98,,,,,,
4,MCI,MUN,2,2,3,0,38,43,3,,FALSE,3.14,0.32,,3.01,0.02,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,
5,LIV,EVE,3,0,2,1,33,33,1,,TRUE,3.03,0.1,,3,0,,,,,,
5,BHA,TOT,1,2,2,2,27,29,0,,,0.93,0.97,,1,1,,,,,,
5,BUR,NFO,1,2,1,1,24,14,0,,,0.86,0.64,,1.01,0.99,,,,,,
5,WHU,CP,0,3,1,2,25,20,-1,,TRUE,-0.08,2.75,,-0.01,2.98,,,,,,
5,WOL,LEE,2,1,1,3,23,8,-2,,FALSE,-0.12,2.49,,-0.01,2.97,,,,,,
5,MUN,CHE,1,2,2,1,37,35,1,,FALSE,3.12,0.14,,3.01,0.01,,,,,,
5,FUL,BRE,0,1,3,1,33,31,2,,FALSE,3.03,0.06,,3,0,,,,,,
5,BOU,NEW,1,1,0,0,32,29,0,,,1.03,0.97,,1,1,,,,,,
5,SUN,AVL,1,2,1,1,45,32,0,,,1.32,1.03,,1.02,0.98,,,,,,
5,ARS,MCI,3,1,1,1,45,49,0,,,1.32,1.4,,0.99,1.01,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
6,BRE,MUN,1,2,3,1,38,30,2,,FALSE,3.14,0.03,,3.01,0,,,,,,
6,CHE,BHA,2,1,1,2,27,37,-1,,FALSE,-0.03,3.12,,0,3.01,,,,,,
6,CP,LIV,0,1,2,1,36,25,1,,FALSE,3.1,-0.08,,3.01,-0.01,,,,,,
6,LEE,BOU,0,2,2,2,29,25,0,,,0.97,0.88,,1.01,0.99,,,,,,
6,MCI,BUR,3,0,5,1,15,43,4,,TRUE,2.64,0.32,,2.98,0.01,,,,,,
6,NFO,SUN,2,1,0,1,30,25,-1,,FALSE,0.03,2.86,,0,2.99,,,,,,
6,TOT,WOL,3,0,1,1,7,27,0,,,0.49,0.93,,0.97,1.03,,,,,,
